ratio,maximum,success
98.192,7845.0,1847.0
1.467,11269.0,2786.0
98.068,8166.0,1472.0
2.97,4595.0,3337.0
97.794,8171.0,931.0
49.248,6664.0,3436.0
98.2,8102.0,982.0
30.201,7264.0,2211.0
38.93,8063.0,2365.0
77.978,8132.0,3162.0
99.294,8079.0,2391.0
62.803,9308.0,4898.0
99.478,8650.0,2856.0
59.254,10517.0,5369.0
99.506,9143.0,3426.0
66.189,11509.0,5910.0
99.235,9373.0,3113.0
68.981,12063.0,5931.0
99.411,9482.0,3377.0
85.035,12470.0,7637.0
99.446,9507.0,3587.0
87.92,12649.0,8552.0
99.363,9420.0,3586.0
92.778,12815.0,8479.0
99.17,9358.0,2986.0
79.799,12818.0,7229.0
99.193,9411.0,2951.0
84.112,12614.0,7200.0
99.246,9380.0,2764.0
71.883,12592.0,7069.0
99.198,9268.0,3217.0
70.142,12543.0,6970.0
99.384,9170.0,3066.0
77.317,12655.0,6633.0
99.308,9123.0,3012.0
65.954,12780.0,6172.0
99.239,9006.0,3001.0
72.464,12917.0,6587.0
99.259,8988.0,3080.0
64.504,13064.0,6551.0
99.282,8962.0,2629.0
3.61,13080.0,4817.0
98.691,9293.0,2789.0
1.487,4514.0,2718.0
98.656,9180.0,2202.0
25.357,8192.0,5898.0
99.489,10383.0,6231.0
98.521,220.0,333.0
98.807,12483.0,4389.0
98.093,648.0,1800.0
99.231,12076.0,1548.0
97.978,876.0,1696.0
98.966,11683.0,1531.0
55.808,957.0,2532.0
99.363,11431.0,1559.0
98.318,1573.0,1403.0
